"search","oracle","task_type","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql","Focused",0.678827380952381,0.321428571428571,1,0.95,"mean","qi"
"bfs","compassql","Open-Ended",0.678827380952381,0.321428571428571,1,0.95,"mean","qi"
"bfs","dziban","Focused",0.739383333333333,0.383333333333333,1.05,0.95,"mean","qi"
"bfs","dziban","Open-Ended",0.739383333333333,0.383333333333333,1.05,0.95,"mean","qi"
"dfs","compassql","Focused",0.300961111111111,-0.0666666666666667,0.65,0.95,"mean","qi"
"dfs","compassql","Open-Ended",0.300961111111111,-0.0666666666666667,0.65,0.95,"mean","qi"
"dfs","dziban","Focused",0.557166666666667,0.2,0.883333333333333,0.95,"mean","qi"
"dfs","dziban","Open-Ended",0.557166666666667,0.2,0.883333333333333,0.95,"mean","qi"
"bfs","compassql","Focused",0.678827380952381,0.571428571428571,0.803571428571429,0.5,"mean","qi"
"bfs","compassql","Open-Ended",0.678827380952381,0.571428571428571,0.803571428571429,0.5,"mean","qi"
"bfs","dziban","Focused",0.739383333333333,0.633333333333333,0.85,0.5,"mean","qi"
"bfs","dziban","Open-Ended",0.739383333333333,0.633333333333333,0.85,0.5,"mean","qi"
"dfs","compassql","Focused",0.300961111111111,0.183333333333333,0.433333333333333,0.5,"mean","qi"
"dfs","compassql","Open-Ended",0.300961111111111,0.183333333333333,0.433333333333333,0.5,"mean","qi"
"dfs","dziban","Focused",0.557166666666667,0.45,0.666666666666667,0.5,"mean","qi"
"dfs","dziban","Open-Ended",0.557166666666667,0.45,0.666666666666667,0.5,"mean","qi"
