"search","oracle","task_type","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql","Focused",0.430767857142857,0,0.839285714285714,0.95,"mean","qi"
"bfs","compassql","Open-Ended",0.430767857142857,0,0.839285714285714,0.95,"mean","qi"
"bfs","dziban","Focused",0.614877777777778,0.216666666666667,1,0.95,"mean","qi"
"bfs","dziban","Open-Ended",0.614877777777778,0.216666666666667,1,0.95,"mean","qi"
"dfs","compassql","Focused",-0.0460111111111111,-0.45,0.366666666666667,0.95,"mean","qi"
"dfs","compassql","Open-Ended",-0.0460111111111111,-0.45,0.366666666666667,0.95,"mean","qi"
"dfs","dziban","Focused",0.34835,-0.05,0.733749999999903,0.95,"mean","qi"
"dfs","dziban","Open-Ended",0.34835,-0.05,0.733749999999903,0.95,"mean","qi"
"bfs","compassql","Focused",0.430767857142857,0.285714285714286,0.589285714285714,0.5,"mean","qi"
"bfs","compassql","Open-Ended",0.430767857142857,0.285714285714286,0.589285714285714,0.5,"mean","qi"
"bfs","dziban","Focused",0.614877777777778,0.483333333333333,0.75,0.5,"mean","qi"
"bfs","dziban","Open-Ended",0.614877777777778,0.483333333333333,0.75,0.5,"mean","qi"
"dfs","compassql","Focused",-0.0460111111111111,-0.183333333333333,0.1,0.5,"mean","qi"
"dfs","compassql","Open-Ended",-0.0460111111111111,-0.183333333333333,0.1,0.5,"mean","qi"
"dfs","dziban","Focused",0.34835,0.2,0.483333333333333,0.5,"mean","qi"
"dfs","dziban","Open-Ended",0.34835,0.2,0.483333333333333,0.5,"mean","qi"
