"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"birdstrikes","compassql","bfs",272.049565445971,189.108207476306,352.535773252056,0.95,"mean","qi"
"birdstrikes","compassql","dfs",321.370899618637,234.616193826147,408.983885813085,0.95,"mean","qi"
"birdstrikes","dziban","bfs",245.817270032808,159.219794423105,333.241689096209,0.95,"mean","qi"
"birdstrikes","dziban","dfs",224.973237025933,125.377125259318,325.895595545674,0.95,"mean","qi"
"movies","compassql","bfs",221.775308011495,132.931020260718,311.782341113746,0.95,"mean","qi"
"movies","compassql","dfs",242.825467064817,147.79082435243,338.420103000962,0.95,"mean","qi"
"movies","dziban","bfs",225.734873946962,131.121438454705,315.433045077784,0.95,"mean","qi"
"movies","dziban","dfs",169.134551616475,69.7824471975523,266.776902471745,0.95,"mean","qi"
"birdstrikes","compassql","bfs",272.049565445971,244.882174851934,298.674425743811,0.5,"mean","qi"
"birdstrikes","compassql","dfs",321.370899618637,291.243363352407,352.327635207696,0.5,"mean","qi"
"birdstrikes","dziban","bfs",245.817270032808,215.400593244395,276.392786281433,0.5,"mean","qi"
"birdstrikes","dziban","dfs",224.973237025933,190.485285044329,259.114705143225,0.5,"mean","qi"
"movies","compassql","bfs",221.775308011495,190.759226460083,253.543412898929,0.5,"mean","qi"
"movies","compassql","dfs",242.825467064817,210.009279239168,275.483366208252,0.5,"mean","qi"
"movies","dziban","bfs",225.734873946962,194.527642549471,256.964832681632,0.5,"mean","qi"
"movies","dziban","dfs",169.134551616475,135.719648565294,202.14276755538,0.5,"mean","qi"
