"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"birdstrikes","compassql","bfs",248.018000058025,197.562412616726,300.348051438895,0.95,"mean","qi"
"birdstrikes","compassql","dfs",276.8428384482,224.339328693224,332.393789309528,0.95,"mean","qi"
"birdstrikes","dziban","bfs",247.614701984951,193.574305212868,301.43788716024,0.95,"mean","qi"
"birdstrikes","dziban","dfs",231.451224626273,169.996980721941,292.151538070395,0.95,"mean","qi"
"movies","compassql","bfs",223.997819171101,170.262137946101,279.459686956486,0.95,"mean","qi"
"movies","compassql","dfs",243.911580178688,189.298023222533,299.019800679643,0.95,"mean","qi"
"movies","dziban","bfs",235.603437931668,181.0272319911,293.505698244152,0.95,"mean","qi"
"movies","dziban","dfs",203.734026602943,145.703114329109,262.682763627136,0.95,"mean","qi"
"birdstrikes","compassql","bfs",248.018000058025,230.689796393481,265.196855761207,0.5,"mean","qi"
"birdstrikes","compassql","dfs",276.8428384482,257.658164971488,295.667447248582,0.5,"mean","qi"
"birdstrikes","dziban","bfs",247.614701984951,228.913489368073,265.988563457715,0.5,"mean","qi"
"birdstrikes","dziban","dfs",231.451224626273,211.450145805529,251.589526984827,0.5,"mean","qi"
"movies","compassql","bfs",223.997819171101,205.061210682366,242.516420775942,0.5,"mean","qi"
"movies","compassql","dfs",243.911580178688,225.22176582043,263.718988383789,0.5,"mean","qi"
"movies","dziban","bfs",235.603437931668,216.235116129628,254.730049167244,0.5,"mean","qi"
"movies","dziban","dfs",203.734026602943,183.857714380202,224.015726684141,0.5,"mean","qi"
