"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"birdstrikes","compassql","bfs",655.699245594275,550.105830462932,760.373868902422,0.95,"mean","qi"
"birdstrikes","compassql","dfs",797.132426504373,682.566930169487,906.532538545906,0.95,"mean","qi"
"birdstrikes","dziban","bfs",645.399359772631,533.128055684278,757.505793614769,0.95,"mean","qi"
"birdstrikes","dziban","dfs",727.813801721357,602.671045020767,849.380518201554,0.95,"mean","qi"
"movies","compassql","bfs",669.055160369748,551.391834943013,786.304125309206,0.95,"mean","qi"
"movies","compassql","dfs",759.007056590084,645.892912246253,875.043595833893,0.95,"mean","qi"
"movies","dziban","bfs",727.543941024544,615.504250336754,840.479580264777,0.95,"mean","qi"
"movies","dziban","dfs",709.199453245328,597.805662253633,823.264512198942,0.95,"mean","qi"
"birdstrikes","compassql","bfs",655.699245594275,618.885568118593,692.040798416255,0.5,"mean","qi"
"birdstrikes","compassql","dfs",797.132426504373,758.711067477409,836.094565331239,0.5,"mean","qi"
"birdstrikes","dziban","bfs",645.399359772631,607.161387776471,683.921242784837,0.5,"mean","qi"
"birdstrikes","dziban","dfs",727.813801721357,686.59574089056,769.230701874987,0.5,"mean","qi"
"movies","compassql","bfs",669.055160369748,627.486572251054,709.939890767159,0.5,"mean","qi"
"movies","compassql","dfs",759.007056590084,720.235770166544,795.84646938907,0.5,"mean","qi"
"movies","dziban","bfs",727.543941024544,688.958765794044,766.085282988011,0.5,"mean","qi"
"movies","dziban","dfs",709.199453245328,668.833977942699,748.657514820797,0.5,"mean","qi"
