"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"1. Find Extremum","birdstrikes","compassql_bfs",0.481129589799604,-0.067354112827853,1.01831685329106,0.95,"mean","qi"
"1. Find Extremum","birdstrikes","compassql_dfs",-0.431775955284415,-1.09527874489932,0.23155660941752,0.95,"mean","qi"
"1. Find Extremum","birdstrikes","dziban_bfs",0.631153964780299,-0.0335113805190602,1.27900875647433,0.95,"mean","qi"
"1. Find Extremum","birdstrikes","dziban_dfs",0.0795315308739189,-0.591973581634333,0.748421370356436,0.95,"mean","qi"
"1. Find Extremum","movies","compassql_bfs",0.321260668613576,-0.260641631022759,0.93377685040757,0.95,"mean","qi"
"1. Find Extremum","movies","compassql_dfs",-0.107297249941983,-0.843136812199449,0.621019670160765,0.95,"mean","qi"
"1. Find Extremum","movies","dziban_bfs",0.109233654277602,-0.60488270237183,0.828726799272861,0.95,"mean","qi"
"1. Find Extremum","movies","dziban_dfs",0.264181492960975,-0.442245570060692,0.959660876703284,0.95,"mean","qi"
"2. Retrieve Value","birdstrikes","compassql_bfs",0.100792972104257,-0.567778989920956,0.759484168664879,0.95,"mean","qi"
"2. Retrieve Value","birdstrikes","compassql_dfs",-0.633083212421687,-1.42323131706266,0.137270163859563,0.95,"mean","qi"
"2. Retrieve Value","birdstrikes","dziban_bfs",0.44212075184244,-0.329877156414973,1.22141406786922,0.95,"mean","qi"
"2. Retrieve Value","birdstrikes","dziban_dfs",-0.0465643772517324,-0.856269348500458,0.748255378114529,0.95,"mean","qi"
"2. Retrieve Value","movies","compassql_bfs",-0.320227505071888,-1.06203071653293,0.416704187733581,0.95,"mean","qi"
"2. Retrieve Value","movies","compassql_dfs",0.0280491703675843,-0.769440553419217,0.808606594801336,0.95,"mean","qi"
"2. Retrieve Value","movies","dziban_bfs",-0.0504048292654983,-0.841265005708874,0.743863509343191,0.95,"mean","qi"
"2. Retrieve Value","movies","dziban_dfs",0.615539749349463,-0.165932323978911,1.38848255564841,0.95,"mean","qi"
"3. Prediction","birdstrikes","compassql_bfs",0.529375323007328,-0.153603613092357,1.2187340235191,0.95,"mean","qi"
"3. Prediction","birdstrikes","compassql_dfs",-0.377155860004367,-1.16814530024218,0.414325262442234,0.95,"mean","qi"
"3. Prediction","birdstrikes","dziban_bfs",0.865736568853693,0.0675387966229475,1.64077383641585,0.95,"mean","qi"
"3. Prediction","birdstrikes","dziban_dfs",0.161136874233841,-0.618804001125447,0.944913439127246,0.95,"mean","qi"
"3. Prediction","movies","compassql_bfs",0.630866563957225,-0.115335861986782,1.36841847424985,0.95,"mean","qi"
"3. Prediction","movies","compassql_dfs",0.461285547188035,-0.345489336665369,1.24451453950542,0.95,"mean","qi"
"3. Prediction","movies","dziban_bfs",0.842425875968293,0.0500398344778503,1.64411107121766,0.95,"mean","qi"
"3. Prediction","movies","dziban_dfs",0.725354056100355,-0.0628008572894096,1.53169117021692,0.95,"mean","qi"
"4. Exploration","birdstrikes","compassql_bfs",0.781071974329371,0.122100105914332,1.44925507751469,0.95,"mean","qi"
"4. Exploration","birdstrikes","compassql_dfs",0.273929450002906,-0.516949381425156,1.06315350919054,0.95,"mean","qi"
"4. Exploration","birdstrikes","dziban_bfs",0.947078704355829,0.125885874886914,1.71839653941825,0.95,"mean","qi"
"4. Exploration","birdstrikes","dziban_dfs",0.251547187161257,-0.514162983292644,1.0455103414882,0.95,"mean","qi"
"4. Exploration","movies","compassql_bfs",0.785897665741158,0.032677932015222,1.5204039945369,0.95,"mean","qi"
"4. Exploration","movies","compassql_dfs",0.431966670403965,-0.381524769365958,1.23567831527546,0.95,"mean","qi"
"4. Exploration","movies","dziban_bfs",1.04078070429174,0.252846787814356,1.81507827931745,0.95,"mean","qi"
"4. Exploration","movies","dziban_dfs",0.938386648858723,0.148007641931231,1.76711995406407,0.95,"mean","qi"
"1. Find Extremum","birdstrikes","compassql_bfs",0.481129589799604,0.289952123942813,0.665311440178949,0.5,"mean","qi"
"1. Find Extremum","birdstrikes","compassql_dfs",-0.431775955284415,-0.664998939117759,-0.198103380633311,0.5,"mean","qi"
"1. Find Extremum","birdstrikes","dziban_bfs",0.631153964780299,0.39969427923208,0.867615246800015,0.5,"mean","qi"
"1. Find Extremum","birdstrikes","dziban_dfs",0.0795315308739189,-0.147224518055323,0.309982278772379,0.5,"mean","qi"
"1. Find Extremum","movies","compassql_bfs",0.321260668613576,0.109429027879138,0.522015551180075,0.5,"mean","qi"
"1. Find Extremum","movies","compassql_dfs",-0.107297249941983,-0.360587811361034,0.144750830879689,0.5,"mean","qi"
"1. Find Extremum","movies","dziban_bfs",0.109233654277602,-0.135938276742556,0.355716820962681,0.5,"mean","qi"
"1. Find Extremum","movies","dziban_dfs",0.264181492960975,0.0254796093130953,0.502451238831826,0.5,"mean","qi"
"2. Retrieve Value","birdstrikes","compassql_bfs",0.100792972104257,-0.120467053397257,0.32533328952494,0.5,"mean","qi"
"2. Retrieve Value","birdstrikes","compassql_dfs",-0.633083212421687,-0.907233121481382,-0.368040337832005,0.5,"mean","qi"
"2. Retrieve Value","birdstrikes","dziban_bfs",0.44212075184244,0.181506293338998,0.711928876298617,0.5,"mean","qi"
"2. Retrieve Value","birdstrikes","dziban_dfs",-0.0465643772517324,-0.322918962394077,0.231934442560363,0.5,"mean","qi"
"2. Retrieve Value","movies","compassql_bfs",-0.320227505071888,-0.579217799523225,-0.0593286428200512,0.5,"mean","qi"
"2. Retrieve Value","movies","compassql_dfs",0.0280491703675843,-0.252583055301881,0.305733696273289,0.5,"mean","qi"
"2. Retrieve Value","movies","dziban_bfs",-0.0504048292654983,-0.330126326436674,0.223064074397376,0.5,"mean","qi"
"2. Retrieve Value","movies","dziban_dfs",0.615539749349463,0.344443300040969,0.887346810242309,0.5,"mean","qi"
"3. Prediction","birdstrikes","compassql_bfs",0.529375323007328,0.297320211725366,0.764963838697177,0.5,"mean","qi"
"3. Prediction","birdstrikes","compassql_dfs",-0.377155860004367,-0.648577545951988,-0.109158844938673,0.5,"mean","qi"
"3. Prediction","birdstrikes","dziban_bfs",0.865736568853693,0.601521464288499,1.14168029302073,0.5,"mean","qi"
"3. Prediction","birdstrikes","dziban_dfs",0.161136874233841,-0.0972545704358711,0.430004916402119,0.5,"mean","qi"
