"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"1. Find Extremum","compassql","bfs",0.396917788972192,-0.0782108110292355,0.875526159016063,0.95,"mean","qi"
"1. Find Extremum","compassql","dfs",-0.221658652141588,-0.745929198585386,0.279419981912175,0.95,"mean","qi"
"1. Find Extremum","dziban","bfs",0.439400190496549,-0.0739143705931538,0.927437807399001,0.95,"mean","qi"
"1. Find Extremum","dziban","dfs",0.0849682141225158,-0.475537778591601,0.635076910971272,0.95,"mean","qi"
"2. Retrieve Value","compassql","bfs",-0.0955549132792093,-0.645307652168208,0.475789802662393,0.95,"mean","qi"
"2. Retrieve Value","compassql","dfs",-0.296315438011902,-0.880140612746629,0.280194657539669,0.95,"mean","qi"
"2. Retrieve Value","dziban","bfs",0.185226769058952,-0.397888567855323,0.770532800916217,0.95,"mean","qi"
"2. Retrieve Value","dziban","dfs",0.320996790003973,-0.293970504125976,0.920626354795603,0.95,"mean","qi"
"3. Prediction","compassql","bfs",0.588919201029649,0.052383132636519,1.15926800898032,0.95,"mean","qi"
"3. Prediction","compassql","dfs",0.0537448476401056,-0.497462240987447,0.607339432392357,0.95,"mean","qi"
"3. Prediction","dziban","bfs",0.836164149178384,0.255799732490768,1.41467694593171,0.95,"mean","qi"
"3. Prediction","dziban","dfs",0.474400086932142,-0.13031653409099,1.0877404742418,0.95,"mean","qi"
"4. Exploration","compassql","bfs",0.794390521939058,0.234149887477189,1.36087133498316,0.95,"mean","qi"
"4. Exploration","compassql","dfs",0.359914319193724,-0.218010262978213,0.931524576170062,0.95,"mean","qi"
"4. Exploration","dziban","bfs",0.967796152936283,0.386436962038436,1.54166495115666,0.95,"mean","qi"
"4. Exploration","dziban","dfs",0.619795683749759,0.0142368755815474,1.2305882921216,0.95,"mean","qi"
"1. Find Extremum","compassql","bfs",0.396917788972192,0.243910939694466,0.555778512926652,0.5,"mean","qi"
"1. Find Extremum","compassql","dfs",-0.221658652141588,-0.401554592901338,-0.0423728837605836,0.5,"mean","qi"
"1. Find Extremum","dziban","bfs",0.439400190496549,0.273529404252539,0.615126892498332,0.5,"mean","qi"
"1. Find Extremum","dziban","dfs",0.0849682141225158,-0.0987147392361584,0.27474418802049,0.5,"mean","qi"
"2. Retrieve Value","compassql","bfs",-0.0955549132792093,-0.286088500610148,0.102240768026214,0.5,"mean","qi"
"2. Retrieve Value","compassql","dfs",-0.296315438011902,-0.490993121904319,-0.100774516616726,0.5,"mean","qi"
"2. Retrieve Value","dziban","bfs",0.185226769058952,-0.0130701878431183,0.385279726017184,0.5,"mean","qi"
"2. Retrieve Value","dziban","dfs",0.320996790003973,0.117906393454351,0.52732666880044,0.5,"mean","qi"
"3. Prediction","compassql","bfs",0.588919201029649,0.403276419144634,0.772270120362698,0.5,"mean","qi"
"3. Prediction","compassql","dfs",0.0537448476401056,-0.147915074918534,0.251700321205806,0.5,"mean","qi"
"3. Prediction","dziban","bfs",0.836164149178384,0.640011783569291,1.03268138916825,0.5,"mean","qi"
"3. Prediction","dziban","dfs",0.474400086932142,0.27013741163885,0.682849808830827,0.5,"mean","qi"
"4. Exploration","compassql","bfs",0.794390521939058,0.596009696699474,0.989634228109018,0.5,"mean","qi"
"4. Exploration","compassql","dfs",0.359914319193724,0.162575949947038,0.561851475828775,0.5,"mean","qi"
"4. Exploration","dziban","bfs",0.967796152936283,0.769260927250753,1.16363931040326,0.5,"mean","qi"
"4. Exploration","dziban","dfs",0.619795683749759,0.408944619818356,0.82607052377332,0.5,"mean","qi"
