"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"Focused","compassql","bfs",0.177853090758144,-0.230902329816953,0.591161905241161,0.95,"mean","qi"
"Focused","compassql","dfs",-0.278997425983632,-0.677431105746045,0.117179169402307,0.95,"mean","qi"
"Focused","dziban","bfs",0.301230684175074,-0.101382121639965,0.693222822541948,0.95,"mean","qi"
"Focused","dziban","dfs",0.203851638790304,-0.209851153058008,0.616832725634225,0.95,"mean","qi"
"Open-Ended","compassql","bfs",0.670199763077418,0.249343878099003,1.08102209007584,0.95,"mean","qi"
"Open-Ended","compassql","dfs",0.219120432052707,-0.205607661930514,0.646567694144512,0.95,"mean","qi"
"Open-Ended","dziban","bfs",0.913562146669475,0.477068874835905,1.33792594997379,0.95,"mean","qi"
"Open-Ended","dziban","dfs",0.549795068270526,0.131986530606687,0.973897354747822,0.95,"mean","qi"
"Focused","compassql","bfs",0.177853090758144,0.0401807980364805,0.314723193658349,0.5,"mean","qi"
"Focused","compassql","dfs",-0.278997425983632,-0.417230342977086,-0.141417487223284,0.5,"mean","qi"
"Focused","dziban","bfs",0.301230684175074,0.1659748692055,0.43717686461209,0.5,"mean","qi"
"Focused","dziban","dfs",0.203851638790304,0.060349896803387,0.346294299634484,0.5,"mean","qi"
"Open-Ended","compassql","bfs",0.670199763077418,0.533845393630317,0.810207651810589,0.5,"mean","qi"
"Open-Ended","compassql","dfs",0.219120432052707,0.0777617422946962,0.359655969168989,0.5,"mean","qi"
"Open-Ended","dziban","bfs",0.913562146669475,0.768468549710075,1.06118516517882,0.5,"mean","qi"
"Open-Ended","dziban","dfs",0.549795068270526,0.403491453245109,0.691951925317881,0.5,"mean","qi"
